eta,mfpt,success_rate,relative_change
0.45,2.9055811162232446,0.1,-9.999999999999998
0.4571428571428572,2.9055811162232446,0.1,-8.571428571428562
0.4642857142857143,2.9055811162232446,0.1,-7.14285714285714
0.4714285714285714,2.9055811162232446,0.1,-5.714285714285716
0.4785714285714286,2.9055811162232446,0.1,-4.285714285714281
0.48571428571428577,2.9055811162232446,0.1,-2.857142857142847
0.4928571428571429,2.9055811162232446,0.1,-1.4285714285714235
0.5,2.9055811162232446,0.1,0.0
0.5071428571428571,2.9055811162232446,0.1,1.4285714285714235
0.5142857142857143,2.9055811162232446,0.1,2.857142857142869
0.5214285714285715,2.9055811162232446,0.1,4.285714285714293
0.5285714285714286,2.9055811162232446,0.1,5.714285714285716
0.5357142857142858,2.9055811162232446,0.1,7.142857142857162
0.5428571428571429,2.9055811162232446,0.1,8.571428571428585
0.55,2.9055811162232446,0.1,10.000000000000009
