eta,sigma,mfpt,success_rate,n_transitions
0.4,0.2,3.3316663332666536,0.13333333333333333,4
0.4,0.27499999999999997,2.7105421084216843,0.1,3
0.4,0.35,3.7867573514702944,0.06666666666666667,2
0.4,0.425,3.342835233713409,0.2,6
0.4,0.49999999999999994,3.5425085017003397,0.16666666666666666,5
0.4,0.5750000000000001,1.7673534706941387,0.03333333333333333,1
0.4,0.65,2.449489897979596,0.06666666666666667,2
0.4,0.725,2.6115223044608924,0.1,3
0.4,0.8,3.6110555444422214,0.2,6
0.5,0.05,3.3199973327998933,0.1,3
0.5,0.125,2.7235447089417884,0.13333333333333333,4
0.5,0.2,2.462892578515703,0.16666666666666666,5
0.5,0.27499999999999997,2.981096219243849,0.26666666666666666,8
0.5,0.35,1.9753950790158032,0.03333333333333333,1
0.5,0.425,2.7237114089484566,0.2,6
0.5,0.49999999999999994,1.7501500300060013,0.16666666666666666,5
0.5,0.5750000000000001,3.248149629925985,0.13333333333333333,4
0.5,0.65,3.715243048609722,0.13333333333333333,4
0.5,0.725,2.0954190838167635,0.06666666666666667,2
0.5,0.8,3.594468893778756,0.13333333333333333,4
0.6000000000000001,0.05,1.5073014602920585,0.03333333333333333,1
0.6000000000000001,0.125,1.3022604520904182,0.03333333333333333,1
0.6000000000000001,0.2,3.096419283856772,0.16666666666666666,5
0.6000000000000001,0.27499999999999997,2.521004200840168,0.13333333333333333,4
0.6000000000000001,0.35,1.849703273988131,0.1,3
0.6000000000000001,0.425,1.4866306594652263,0.1,3
0.6000000000000001,0.49999999999999994,3.155964526238581,0.2,6
0.6000000000000001,0.5750000000000001,3.007887291744063,0.23333333333333334,7
0.6000000000000001,0.65,3.081616323264653,0.16666666666666666,5
0.6000000000000001,0.725,2.9138327665533104,0.13333333333333333,4
0.6000000000000001,0.8,3.158131626325265,0.13333333333333333,4
0.7000000000000001,0.05,4.582916583316663,0.06666666666666667,2
0.7000000000000001,0.125,1.854370874174835,0.1,3
0.7000000000000001,0.2,3.7272454490898177,0.13333333333333333,4
0.7000000000000001,0.27499999999999997,3.3513369340534775,0.1,3
0.7000000000000001,0.35,3.7964259518570374,0.2,6
0.7000000000000001,0.425,3.4890311395612463,0.1,3
0.7000000000000001,0.49999999999999994,4.534906981396279,0.06666666666666667,2
0.7000000000000001,0.5750000000000001,1.313262652530506,0.03333333333333333,1
0.7000000000000001,0.65,2.590118023604721,0.16666666666666666,5
0.7000000000000001,0.725,2.325215043008602,0.13333333333333333,4
0.7000000000000001,0.8,2.6783928214214265,0.23333333333333334,7
0.8,0.05,3.246649329865973,0.1,3
0.8,0.125,1.905881176235247,0.06666666666666667,2
0.8,0.2,1.4706274588250985,0.1,3
0.8,0.27499999999999997,2.6317763552710542,0.13333333333333333,4
0.8,0.35,3.627975595119024,0.13333333333333333,4
0.8,0.425,2.1829365873174633,0.13333333333333333,4
0.8,0.49999999999999994,2.530506101220244,0.06666666666666667,2
0.8,0.5750000000000001,2.4909981996399275,0.13333333333333333,4
0.8,0.65,2.423234646929386,0.13333333333333333,4
0.8,0.725,3.566963392678536,0.13333333333333333,4
0.8,0.8,3.0886177235447088,0.03333333333333333,1
0.9,0.05,2.367140094685604,0.1,3
0.9,0.125,1.4822964592918584,0.03333333333333333,1
